name	exactmw	lipinskiHBA	lipinskiHBD	NumRotatableBonds	NumHBD	NumHBA	NumHeteroatoms	NumAmideBonds	FractionCSP3	NumRings	NumAromaticRings	NumAliphaticRings	NumSaturatedRings	NumHeterocycles	NumAromaticHeterocycles	NumSaturatedHeterocycles	NumAliphaticHeterocycles	NumSpiroAtoms	NumBridgeheadAtoms	NumAtomStereoCenters	NumUnspecifiedAtomStereoCenters	labuteASA	tpsa	CrippenClogP	CrippenMR
furosemide	330.007720132	7.0	4.0	5.0	3.0	5.0	9.0	0.0	0.08333333333333333	2.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	124.92226167058834	122.62999999999998	1.8906999999999998	75.81920000000002
guanabenz	230.01260161599998	4.0	4.0	2.0	3.0	2.0	6.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.20838218803418	74.25999999999999	1.8103700000000003	59.1058
fleroxacin	369.13002609599994	6.0	1.0	4.0	1.0	5.0	9.0	0.0	0.4117647058823529	3.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	146.58994438188668	65.78	1.6992	90.76830000000004
mibefradil	495.28972029600004	6.0	1.0	11.0	1.0	5.0	7.0	0.0	0.5172413793103449	4.0	3.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	212.74619456826062	67.44999999999999	5.270900000000005	139.52769999999995
verapamil	454.28315769599993	6.0	0.0	13.0	0.0	6.0	6.0	0.0	0.5185185185185185	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	198.56922331120978	63.95	5.093080000000005	131.656
guanoxan	207.100776656	5.0	4.0	2.0	3.0	3.0	5.0	0.0	0.3	2.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	87.6875347624535	80.36000000000001	0.3094699999999997	56.269800000000004
saquinavir	670.3842687	11.0	6.0	12.0	5.0	7.0	11.0	4.0	0.5	5.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	0.0	0.0	6.0	6.0	287.9614492327174	166.75	3.092400000000003	188.2137999999995
lidocaine	234.173213324	3.0	1.0	5.0	1.0	2.0	3.0	1.0	0.5	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.822157988525	32.34	2.5837400000000006	72.33370000000004
enalapril	376.19982199599997	7.0	2.0	9.0	2.0	5.0	7.0	1.0	0.55	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	3.0	159.23680270316584	95.94	1.6046000000000005	100.15250000000006
theophylline	180.064725496	6.0	1.0	0.0	1.0	5.0	6.0	0.0	0.2857142857142857	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	72.45404341715741	72.68	-1.0397000000000005	46.575700000000005
